filename,url,date,asn,country
2021020123_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210201/23/IR/urlgetter/2021020123_IR_urlgetter.n0.0.jsonl.gz,2021-02-01,AS62442,IR
2021020200_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210202/00/IR/urlgetter/2021020200_IR_urlgetter.n0.0.jsonl.gz,2021-02-02,AS62442,IR
2021020208_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210202/08/IR/urlgetter/2021020208_IR_urlgetter.n0.0.jsonl.gz,2021-02-02,AS62442,IR
2021020209_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210202/09/IR/urlgetter/2021020209_IR_urlgetter.n0.0.jsonl.gz,2021-02-02,AS62442,IR
2021020217_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210202/17/IR/urlgetter/2021020217_IR_urlgetter.n0.0.jsonl.gz,2021-02-02,AS62442,IR
2021020218_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210202/18/IR/urlgetter/2021020218_IR_urlgetter.n0.0.jsonl.gz,2021-02-02,AS62442,IR
2021020302_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210203/02/IR/urlgetter/2021020302_IR_urlgetter.n0.0.jsonl.gz,2021-02-03,AS62442,IR
2021020303_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210203/03/IR/urlgetter/2021020303_IR_urlgetter.n0.0.jsonl.gz,2021-02-03,AS62442,IR
2021020311_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210203/11/IR/urlgetter/2021020311_IR_urlgetter.n0.0.jsonl.gz,2021-02-03,AS58224,IR
2021020311_IR_urlgetter.n0.1.jsonl,s3://ooni-data-eu-fra/raw/20210203/11/IR/urlgetter/2021020311_IR_urlgetter.n0.1.jsonl.gz,2021-02-03,AS62442,IR
2021020312_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210203/12/IR/urlgetter/2021020312_IR_urlgetter.n0.0.jsonl.gz,2021-02-03,AS58224,IR
2021020312_IR_urlgetter.n0.1.jsonl,s3://ooni-data-eu-fra/raw/20210203/12/IR/urlgetter/2021020312_IR_urlgetter.n0.1.jsonl.gz,2021-02-03,AS62442,IR
2021020320_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210203/20/IR/urlgetter/2021020320_IR_urlgetter.n0.0.jsonl.gz,2021-02-03,AS62442,IR
2021020321_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210203/21/IR/urlgetter/2021020321_IR_urlgetter.n0.0.jsonl.gz,2021-02-03,AS62442,IR
2021020322_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210203/22/IR/urlgetter/2021020322_IR_urlgetter.n0.0.jsonl.gz,2021-02-03,AS62442,IR
2021020406_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210204/06/IR/urlgetter/2021020406_IR_urlgetter.n0.0.jsonl.gz,2021-02-04,AS62442,IR
2021020407_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210204/07/IR/urlgetter/2021020407_IR_urlgetter.n0.0.jsonl.gz,2021-02-04,AS62442,IR
2021020415_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210204/15/IR/urlgetter/2021020415_IR_urlgetter.n0.0.jsonl.gz,2021-02-04,AS62442,IR
